pk,address,eth_balance,received_count,sent_count,eth_received,eth_sent,oldest_block,newest_block,is_contract_address
126860930,0x106018ce967e52e34bf27153197c7756235d972b,8999009999979000,2,3,1000000009110000000000,999990000000000000000,,,
103638750,0x30d4bffec44037f5fe9d4336968c573cba9d018a,0,1,1,1000000000000000000,999790000000000000,,,
65059935,0x338fdf0d792f7708d97383eb476e9418b3c16ff1,0,11,27,4999998068000000000000,5000038396913696572512,,,
80122545,0x3fbaa73a433daa0f6c43d1c732c3f97a86f3a427,0,5,2,30790732806991925973233,30790731084991925973233,,,
48849476,0x621e2e9f1cdc03add35ab930b074f9419f294045,0,6,24,2002530000000000000000,2002662058031808310172,,,
112244251,0x645565c47e2f1bba6d8941441b938724d3448c60,0,10,34,5888751573768944448,1502395158961404520104,,,
201650565,0x7d90b19c1022396b525c64ba70a293c3142979b7,0,5,11,5000000000000000000000,4999998068000000000000,,,
102739271,0x845f93f489b524f19864db6e0ab581c532b58d36,0,5,4,24264555854203880180626,24264552410203880180626,,,
16740722,0x90d78a49dfa03893d6f9caa4524b0bff6cda715f,0,1,1,17254552410203880180626,17254552200203880180626,,,
174550245,0x96afcaa806d98713cf169ad95ed8e509ebf3f4a0,0,1,1,10000000000000000000,9999645100000000000,,,
176251594,0xaa923cd02364bb8a4c3d6f894178d2e12231655c,0,25,2,30789732430775842478800,30789732010775842478800,,,
39248316,0xb7443e088232cd680ff20b7518eba2fc9e1b3c32,0,1,5,2000000000000000000000,1999999202000000000000,,,
73760624,0xb7e55d89850b67ab2ffb1a54e3a9f18b916f88b2,0,1,1,10000000000000000000,9999645100000000000,,,
95919460,0xc5883084a66ac9e08379256269c18345ccefe458,0,3,8,2005000000000000000000,2505997892973000000000,,,
116662669,0xd294ac18b524ff59ab7fffcbd459f11128220550,35290460,79,78,32783446912219035290460,32783436636919000000000,,,
184614525,0xd4e79226f1e5a7a28abb58f4704e53cd364e8d11,0,9,10,30765728054051925973233,30765725615947725973233,,,
85693055,0xd759ea4c6e8e2c77b7e04eeebc1fac32ed332dcc,0,2,8,5010000000000000000000,5009996182200000000000,,,
86894634,0xd96ba527be241c2c31fd66cbb0a9430702906a2a,0,8,32,40855885770265737575562,40855879837433977223562,,,
161909443,0xdc0b72b3ea6b41eebb4666ceaca18e3fad6bfd55,0,1,1,5000000000000000000,4999855100000000000,,,
175397345,0xfe61ad22a847c4df702731c7d5e803d283ea1376,296800756,39,38,15758360002263296800756,15758354063463000000000,,,
10508692,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,543956102700000000,113391,156668,2940628964470908000000000,2940532702198840000000000,,,
8818422,0x5861b8446a2f6e19a067874c133f04c578928727,240247028778852367178,233247,74554,5344573680049579852367178,5344296564473220000000000,,,
141269445,0xd8a83b72377476d0a66683cde20a8aad0b628713,92811127944722606050,177898,106504,4917637050523985328066050,4917484477455740000000000,,,
139947050,0xeec606a66edb6f497662ea31b5eb1610da87ab5f,9529227144889510100,185444,474963,8544402322717792389510100,8544016068493340000000000,,,
75810065,0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,54060831729800000000,142523,348725,5544396218409036000000000,5544140185050320000000000,,,
29485132,0xf775a9a0ad44807bc15936df0ee68902af1a0eee,930180636791934388,191372,160545,5655768077830597791934388,5655596191958490000000000,,,